,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,Desserts,Apam Balik,Jagung & kacang,MYR5.00,N/A,N/A
1,Desserts,Apam Balik Special,Extra kacang & extra jagung,MYR7.00,N/A,N/A
2,Desserts,Apam Balik Ch,"Kacang, jagung & cheese",MYR7.50,N/A,N/A
3,Desserts,Apam Balik Pulut Hitam,Kelapa,MYR6.50,N/A,N/A
4,Desserts,Apam Balik Coklat,Dish Description not available,MYR7.00,N/A,N/A
5,Desserts,Apam Balik Coklat Cheese,Dish Description not available,MYR8.00,N/A,N/A
6,Desserts,Apam Balik Coklat Jagung,Dish Description not available,MYR8.00,N/A,N/A
7,Desserts,Apam Balik Coklat Kacang,Dish Description not available,MYR8.00,N/A,N/A
8,Desserts,Apam Balik Extra Special,"Coklat, kacang & jagung",MYR9.00,N/A,N/A
9,Desserts,Apam Balik Coklat Pisang,Dish Description not available,MYR8.00,N/A,N/A
10,Desserts,Apam Balik Cheese Pisang,Dish Description not available,MYR8.00,N/A,N/A
11,Desserts,Apam Balik Cheese Kacang,Dish Description not available,MYR8.00,N/A,N/A
12,Desserts,Apam Balik Cheese  Jagung,Dish Description not available,MYR8.00,N/A,N/A
13,Desserts,Apam Balik Oreo Cheese,Dish Description not available,MYR8.00,N/A,N/A
14,Desserts,Apam Balik Crispy,Rangup,MYR3.00,N/A,N/A
15,Desserts,Apam Balik Rangup,Dish Description not available,MYR3.00,N/A,N/A
16,Desserts,Kuih Pokish,Mixed,MYR6.00,N/A,N/A
17,Desserts,Kuih Gandos,Mixed,MYR6.00,N/A,N/A
