,Restaurant Name,Restaurant URL,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Bubble Tea,Milk Tea,Iced,MYR7.48,from N/A,N/A
1,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Bubble Tea,Bubble Milk Tea,Iced,MYR8.84,from N/A,N/A
2,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Bubble Tea,Cincau Milk Tea,Iced,MYR8.84,from N/A,N/A
3,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Bubble Tea,Fresh Milk Bubble Tea,Iced,MYR9.52,from N/A,N/A
4,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Chocolates,Chocolate,Iced,MYR8.16,from N/A,N/A
5,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Chocolates,Chocolate Smoothie,Iced,MYR9.52,from N/A,N/A
6,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Chocolates,Hazelnut Chocolate,Iced,MYR8.84,from N/A,N/A
7,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Coffee,Hazelnut Coffee,Dish Description not available,MYR8.16,from N/A,N/A
8,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Coffee,Signature Coffee,Dish Description not available,MYR8.16,from N/A,N/A
9,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Coffee,Chocolate Coffee,Dish Description not available,MYR8.16,from N/A,N/A
10,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Coffee,Latte Coffee,Dish Description not available,MYR8.16,from N/A,N/A
11,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Juices,Orange Shake,Iced,MYR6.80,from N/A,N/A
12,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Juices,Kedondong Shake,Iced,MYR6.80,from N/A,N/A
13,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Juices,Kiwi Shake,Iced,MYR6.80,from N/A,N/A
14,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Smoothies,Strawberry Cincau Smoothie,Iced,MYR9.52,from N/A,N/A
15,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Smoothies,Kedondong Asam Boi Smoothie,Iced,MYR10.20,from N/A,N/A
16,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Smoothies,Orange Special Smoothie,Iced,MYR9.52,from N/A,N/A
17,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Smoothies,Kiwi Smoothie,Iced,MYR9.52,from N/A,N/A
18,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Smoothies,Tropicana Lime,Dish Description not available,MYR7.80,from N/A,N/A
19,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,Smoothies,Durian Belanda Smoothies,Dish Description not available,MYR8.40,from N/A,N/A
20,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Mushroom Soup with Garlic Breads with Bubble Milk Tea,Mushroom Soup with Garlic Breads with Bubble Milk Tea,MYR14.96,from N/A,N/A
21,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Chicken Wrap With Fries with Bubble Milk Tea,Dish Description not available,MYR22.44,from N/A,N/A
22,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Club Sandwich With Fries with Bubble Milk Tea,Dish Description not available,MYR20.40,from N/A,N/A
23,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Tuna Mayo Sandwich with Bubble Milk Tea,Dish Description not available,MYR13.60,from N/A,N/A
24,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Set Fries + Nuggets + Wedges  + Bubble Milk Tea,Dish Description not available,MYR19.04,from N/A,N/A
25,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Chicken Fingers with Bubble Milk Tea,Dish Description not available,MYR14.96,from N/A,N/A
26,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Chicken Wrap with Bubble Milk Tea,Dish Description not available,MYR17.68,from N/A,N/A
27,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Spicy Fried Chicken Wings with Bubble Milk Tea,Dish Description not available,MYR20.40,from N/A,N/A
28,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Egg Mayo Sandwich with Bubble Milk Tea,Dish Description not available,MYR12.24,from N/A,N/A
29,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Tuna & Egg Mayo Sandwich with Bubble Milk Tea,Dish Description not available,MYR14.96,from N/A,N/A
30,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Chicken Popcorn with Bubble Milk Tea,Dish Description not available,MYR14.28,from N/A,N/A
31,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,COMBO SET,Nachos Cheese with Bubble Milk Tea,Dish Description not available,MYR14.96,from N/A,N/A
32,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,SIDE DISHES,Club Sandwich With Fries,Tuna and egg mayo sandwich serve with french fries,MYR12.24,N/A,N/A
33,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,SIDE DISHES,Chicken Wrap,Tortilla wrap with chicken finger and fresh salad,MYR9.52,N/A,N/A
34,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,SIDE DISHES,Spicy Fried Chicken Wings (6pcs),Fried Chiken Wings with Spicy Flavour,MYR12.24,N/A,N/A
35,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,SIDE DISHES,Chicken Popcorn,Dish Description not available,MYR6.12,N/A,N/A
36,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,SIDE DISHES,Chicken Wrap With Fries,Chicken wrap servedwith French Fries,MYR14.28,N/A,N/A
37,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,SIDE DISHES,Egg Mayo Sandwich,"Sandwich with egg mayo, fresh salad and tomato.",MYR4.08,N/A,N/A
38,ASP Lounge and Cafe,https://www.foodpanda.my/restaurant/d8dt/asp-lounge-and-cafe,SIDE DISHES,Mushroom Soup With Garlic Breads,Dish Description not available,MYR6.80,N/A,N/A
