,Restaurant Name,Restaurant URL,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Set Jimat Dapur Bonda,Set Nasi Lemak Sambal Sotong,Dish Description not available,MYR12.90,N/A,N/A
1,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Makanan,Nasi Goreng Special,Comes with fried egg,MYR8.00,N/A,N/A
2,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Makanan,Nasi Lemak Sambal Sotong,Dish Description not available,MYR6.90,N/A,https://images.deliveryhero.io/image/fd-my/Products/1411933444.jpg
3,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Cappuccino Lava,Comes with whipping cream & chocolate syrup,MYR7.90,N/A,https://images.deliveryhero.io/image/fd-my/Products/1379190661.jpg
4,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Vanilla Lava,Comes with whipping cream & chocolate syrup,MYR7.90,N/A,https://images.deliveryhero.io/image/fd-my/Products/1379190662.jpg
5,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Hazelnut Coffee Lava,Comes with whipping cream & chocolate syrup,MYR7.90,N/A,https://images.deliveryhero.io/image/fd-my/Products/1379190663.jpg
6,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Chocolate Lava,Comes with whipping cream & chocolate syrup,MYR7.90,N/A,https://images.deliveryhero.io/image/fd-my/Products/1379190665.jpg
7,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Chocolate Boba,Comes with pearl boba,MYR8.90,N/A,N/A
8,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Vanilla Boba,Comes with pearl boba,MYR8.90,N/A,N/A
9,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Mango Smoothie,Comes with whipping cream & 100% mango,MYR8.90,N/A,https://images.deliveryhero.io/image/fd-my/Products/1379190669.jpg
10,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Vanilla Milkshake,Comes with whipping cream & chocolate syrup,MYR7.90,N/A,https://images.deliveryhero.io/image/fd-my/Products/1379384188.jpg
11,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Biskutea Caramel,Dish Description not available,MYR12.90,N/A,N/A
12,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Oreo Milkshake,Dish Description not available,MYR11.90,N/A,N/A
13,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Mango juice,Dish Description not available,MYR8.90,N/A,N/A
14,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Honeydew,Dish Description not available,MYR7.90,N/A,N/A
15,Dapur Bonda,https://www.foodpanda.my/restaurant/i6ad/dapur-bonda-1,Minuman,Strawberry Vanila,Strawberry Vanila,MYR7.90,N/A,N/A
