,Restaurant Name,Restaurant URL,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Grandmas Traditional Taste 阿嫲古早味,Loh Bak Rice 滷肉飯,Dish Description not available,MYR8.90,N/A,N/A
1,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Grandmas Traditional Taste 阿嫲古早味,Loh Bak Noodle 滷肉麵,Dish Description not available,MYR9.90,N/A,N/A
2,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Grandmas Traditional Taste 阿嫲古早味,Egg Burger with Tomato Sauce 番茄煎蛋漢堡,Dish Description not available,MYR4.90,N/A,N/A
3,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Chinese Style 中式餐點,Chicken Fillet with Rice  香酥雞飯,Dish Description not available,MYR12.90,N/A,N/A
4,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Chinese Style 中式餐點,Chicken Fillet with Noodle 香酥雞麵,Dish Description not available,MYR13.90,N/A,N/A
5,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Chinese Style 中式餐點,Fried Nan Ru Belly with Rice 南乳炸肉飯,Dish Description not available,MYR12.90,N/A,N/A
6,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Chinese Style 中式餐點,Fried Nan Ru Belly with Noodle 南乳炸肉麵,Dish Description not available,MYR13.90,N/A,N/A
7,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Chinese Style 中式餐點,Fried Chicken Chop with Rice  炸雞扒飯,Dish Description not available,MYR12.90,N/A,N/A
8,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Chinese Style 中式餐點,Fried Chicken Chop with Noodle 炸雞扒麵,Dish Description not available,MYR13.90,N/A,N/A
9,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Chinese Style 中式餐點,Fried Fish Fillet with Rice 炸魚扒飯,Dish Description not available,MYR12.90,N/A,N/A
10,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Chinese Style 中式餐點,Fried Fish Fillet with Noodle炸魚扒麵,Dish Description not available,MYR13.90,N/A,N/A
11,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Korean Style 韓式餐點,Kimchi Fried Rice 泡菜炒飯,Dish Description not available,MYR10.90,from N/A,N/A
12,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Korean Style 韓式餐點,Kimchi Korean Soup Noodle 泡菜拉麵,Dish Description not available,MYR10.90,from N/A,N/A
13,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Japanese Style 日式餐點,Japanese Fried Noodle with Milk Bun 日式炒麵麵包,Dish Description not available,MYR10.90,from N/A,N/A
14,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Western Style & Burger 西式餐點與漢堡,Tomato Pasta 番茄義大利麵,Dish Description not available,MYR9.90,from N/A,N/A
15,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Western Style & Burger 西式餐點與漢堡,Classic Fried Chicken Burger with Fries 經典炸雞漢堡與薯條,Dish Description not available,MYR12.90,from N/A,N/A
16,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Western Style & Burger 西式餐點與漢堡,Classic Fish Fillet Burger with Fries 經典炸魚漢堡與薯條,Dish Description not available,MYR12.90,from N/A,N/A
17,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Western Style & Burger 西式餐點與漢堡,Hawaii Fried Chicken Burger with Fries 夏威夷炸雞漢堡與薯條,Dish Description not available,MYR13.90,from N/A,N/A
18,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Western Style & Burger 西式餐點與漢堡,Hawaii Fish Burger with Fries 夏威夷炸魚漢堡與薯條,Dish Description not available,MYR13.90,from N/A,N/A
19,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Western Style & Burger 西式餐點與漢堡,Hash Brown Egg Burger with Fries 薯餅雞蛋漢堡與薯條,Dish Description not available,MYR10.90,from N/A,N/A
20,OPS Kitchen,https://www.foodpanda.my/restaurant/w4hh/ops-kitchen,Western Style & Burger 西式餐點與漢堡,Croquette Egg Burger with Fries 可樂餅雞蛋漢堡與薯條,Dish Description not available,MYR10.90,from N/A,N/A
