,Restaurant Name,Restaurant URL,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Mains,Penang Rojak,Dish Description not available,MYR10.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381418023.jpg
1,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Mains,Chicken Only,Dish Description not available,MYR8.50,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381430031.jpg
2,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Mains,BBQ Chicken Only,Dish Description not available,MYR9.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381430032.jpg
3,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Mains,Lemon Chicken Only,Dish Description not available,MYR9.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381430029.jpg
4,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Mains,1/2 Chicken,Dish Description not available,MYR38.00,N/A,N/A
5,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Mains,Drumstick Rice Roasted Chicken + Egg,Dish Description not available,MYR14.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381430034.jpg
6,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Chicken Rice,Roasted Chicken Rice,Dish Description not available,MYR11.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381420401.jpg
7,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Chicken Rice,BBQ Chicken Rice,Dish Description not available,MYR11.50,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381420400.jpg
8,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Chicken Rice,Roasted Chicken Rice + BBQ Chicken Rice,Dish Description not available,MYR14.50,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381420399.jpg
9,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Fried Rice,Spanish Fried Rice,Dish Description not available,MYR12.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381424742.jpg
10,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Fried Rice,Chicken Fried Rice,Dish Description not available,MYR15.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381424745.jpg
11,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Fried Rice,Western Fried Rice,Dish Description not available,MYR11.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381424744.jpg
12,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Noodles,Penang Fried Kuey Teow,Dish Description not available,MYR11.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381424743.jpg
13,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Noodles,Fried Singapore Bee Hoon,Dish Description not available,MYR11.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381427778.jpg
14,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Noodles,Cantonese Hor Fun,Dish Description not available,MYR11.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381427780.jpg
15,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Noodles,Cantonese Yee Mee,Dish Description not available,MYR11.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381427779.jpg
16,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Noodles,Fried Yee Mee,Dish Description not available,MYR11.00,N/A,N/A
17,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Noodles,Wantan Mee,Dish Description not available,MYR11.00,N/A,N/A
18,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Noodles,Penang Asam Laksa,Dish Description not available,MYR11.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1381427782.jpg
19,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Noodles,Fried Bee Hoon + Egg,Dish Description not available,MYR14.00,N/A,N/A
20,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Sides,Egg,Dish Description not available,MYR2.50,N/A,N/A
21,Penang Favourites,https://www.foodpanda.my/chain/cp7zg/penang-favourites,Sides,Rice,Dish Description not available,MYR3.00,N/A,N/A
