,Restaurant Name,Restaurant URL,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,All Day Brunch,Hungry Jack Big Breakfast,Dish Description not available,MYR29.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1161083042.jpg
1,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Main Courses,Fish & Chips,Dish Description not available,MYR25.00,N/A,N/A
2,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Main Courses,Pan-fried Chicken Chop,Dish Description not available,MYR24.00,N/A,N/A
3,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Main Courses,Solar Bowl Original,Dish Description not available,MYR18.00,from N/A,https://images.deliveryhero.io/image/fd-my/Products/1161075951.jpg
4,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Main Courses,Solar Bowl Spicy,Dish Description not available,MYR18.00,N/A,N/A
5,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Main Courses,Smoked Duck Original,Dish Description not available,MYR22.00,from N/A,N/A
6,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Main Courses,Smoked Duck Spicy,Dish Description not available,MYR22.00,N/A,N/A
7,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Main Courses,Salmon Steak,Dish Description not available,MYR35.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1161075953.jpg
8,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Spaghetti,Salmon Basilico Spaghetti,Dish Description not available,MYR28.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1161082941.jpg
9,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Spaghetti,Chicken Meatball Marinara,Dish Description not available,MYR23.00,N/A,N/A
10,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Spaghetti,Seafood Aglio Olio,Dish Description not available,MYR25.00,N/A,N/A
11,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Spaghetti,Wild Mushroom Spaghetti (V),Dish Description not available,MYR19.00,N/A,N/A
12,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Spaghetti,Creamy Chicken Carbonara,Dish Description not available,MYR25.00,N/A,N/A
13,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,JWC Curry Rice,Salmon Japanese Curry Rice with Scrambled Egg,Dish Description not available,MYR28.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1161082951.jpg
14,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,JWC Curry Rice,Chicken Japanese Curry Rice with Scrambled Egg,Dish Description not available,MYR21.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1161082952.jpg
15,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,JWC Curry Rice,Broccoli Japanese Curry Rice with Scrambled Egg,Dish Description not available,MYR16.00,N/A,N/A
16,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Pizza,Hawaii Chicken Pizza,Dish Description not available,MYR25.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1161082954.jpg
17,The Depot 11 by JWC,https://www.foodpanda.my/restaurant/c4ir/the-depot-11-by-jwc,Pizza,Pepperoni Chicken Pizza,Dish Description not available,MYR24.00,N/A,N/A
