,restaurant_name,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,979-hokkien-mee-nine-seven-nine-kopitiam,Mains,Hokkien Mee,Dish Description not available,MYR5.90,from N/A,N/A
1,979-char-koay-teow,Noodles,Thai Styled Char Kuey Teow with Fried Egg,Dish Description not available,MYR8.80,N/A,N/A
2,979-char-koay-teow,Noodles,Char Kuey Teow,Dish Description not available,MYR7.50,from N/A,N/A
3,979-char-koay-teow,Noodles,Char Bee Tai Bak,Dish Description not available,MYR7.50,from N/A,N/A
4,979-char-koay-teow,Noodles,Char Yellow Noodle,Dish Description not available,MYR7.50,from N/A,N/A
5,979-char-koay-teow,Rice Set,Pra Kra Pao Set Rice with Fried Egg,Dish Description not available,MYR9.60,N/A,N/A
6,fried-rice-special,Rice,Belacan Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
7,fried-rice-special,Rice,Yang Zhou Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
8,fried-rice-special,Rice,Pattaya Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
9,fried-rice-special,Rice,Dried Radish Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
10,fried-rice-special,Rice,Salted Fish Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
11,fried-rice-special,Rice,Butter Chicken Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
12,fried-rice-special,Rice,Pineapple Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
13,fried-rice-special,Rice,Black Pepper Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
14,fried-rice-special,Rice,Tomyam Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
15,fried-rice-special,Rice,Sambal Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
16,fried-rice-special,Rice,Hot & Spicy Fried Rice,Dish Description not available,MYR8.60,from N/A,N/A
17,qi-yen-char-koay-teow,Mains,Char Koay Teow,Dish Description not available,MYR6.60,from N/A,N/A
18,qi-yen-char-koay-teow,Mains,Fried Noodle,Dish Description not available,MYR6.60,from N/A,N/A
19,qi-yen-char-koay-teow,Mains,Fried Mee Tai Bak,Dish Description not available,MYR6.60,from N/A,N/A
20,qi-yen-char-koay-teow,Mains,Fried Rice,Dish Description not available,MYR7.40,from N/A,N/A
21,qi-yen-char-koay-teow,Mains,Sambal Fried Rice,Dish Description not available,MYR7.40,from N/A,N/A
22,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Canai,Dish Description not available,MYR1.80,N/A,N/A
23,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Telur,Dish Description not available,MYR3.30,N/A,N/A
24,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Telur Bawang,Dish Description not available,MYR3.70,N/A,N/A
25,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Bom,Dish Description not available,MYR3.00,N/A,N/A
26,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Planta,Dish Description not available,MYR3.00,N/A,N/A
27,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Celup Telur,Roti Benggali,MYR2.20,N/A,N/A
28,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Doll,Dish Description not available,MYR3.30,N/A,N/A
29,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Cheese,Dish Description not available,MYR3.30,N/A,N/A
30,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Roti,Roti Telur Cheese,Dish Description not available,MYR4.60,N/A,N/A
31,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Lain-lain,Nasi Lemak,Dish Description not available,MYR1.80,N/A,N/A
32,rashida-roti-canai-kompleks-makanan-lebuh-nipah,Lain-lain,Karipap,1 Pc,MYR0.90,N/A,N/A
33,shen-huat-wan-than-mee,Noodles,Wan Tan Mee,Dish Description not available,MYR5.80,from N/A,N/A
34,shen-huat-wan-than-mee,Noodles,Wan Tan Mee Soup,Dish Description not available,MYR5.80,from N/A,N/A
35,lucky-eatery-alor-setar-chicken-noodle,Mains,Signature Chicken Noodle,Dish Description not available,MYR7.40,from N/A,N/A
36,lucky-eatery-alor-setar-chicken-noodle,Mains,Black Soy Sauce Chicken Noodle,Dish Description not available,MYR7.40,from N/A,N/A
37,lucky-eatery-alor-setar-chicken-noodle,Mains,Tomyam Chicken Noodle,Dry,MYR7.40,from N/A,N/A
38,brothers-koay-teow-th-ng,Mains,Koay Teow Th'ng,Dish Description not available,MYR7.50,N/A,N/A
39,brothers-koay-teow-th-ng,Mains,Koay Teow Dry,Dish Description not available,MYR7.50,N/A,N/A
40,lam-huat-roasted-chicken-duck-rice,Rice,Chicken Rice,Dish Description not available,MYR8.10,from N/A,N/A
41,lam-huat-roasted-chicken-duck-rice,Rice,Sio Bak Rice,Dish Description not available,MYR9.60,from N/A,N/A
