,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,New,Signature Quattro Beef (Classic),"Four different flavors - Beef Pepperoni, Aloha Chicken, Prawn Sensation and Simply Cheese, loaded with mushrooms for that extra burst of flavor.",MYR35.80,from MYR21.48,https://images.deliveryhero.io/image/fd-my/Products/568573840.jpg
1,New,Signature Quattro Chicken (Classic),"Four different flavors - Chicken Pepperoni, Aloha Chicken, Prawn Sensation and Simply Cheese, loaded with mushrooms for that extra burst of flavor.",MYR35.80,from MYR21.48,https://images.deliveryhero.io/image/fd-my/Products/568573845.jpg
2,New,Vegie Quattro (Favorites),"Four vegetable flavors in one pizza. Crunch spinach, juicy tomatoes, succulent olives and zesty pineapples with fresh green peppers. Vegie Pizza just became lip smacking good.",MYR31.90,from MYR19.14,https://images.deliveryhero.io/image/fd-my/Products/568573848.jpg
3,Favourites Pizza,BBQ CHICKEN,"SUCCULENT SHREDDED CHICKEN, FRESH ONIONS, GREEN PEPPER TOPPED WITH 100% MOZZARELLA CHEESE & TANGY BBQ SAUCE",MYR31.90,from MYR19.14,https://images.deliveryhero.io/image/fd-my/Products/1777060.jpg
4,Favourites Pizza,SAMBAL VEGIE,"FRESH MUSHROOMS, GREEN PEPPERS, ONIONS, RIPE OLIVES AND CHERRY TOMATOES ON OUR NEW AND AUTHENTIC SAMBAL SAUCE",MYR31.90,from MYR19.14,https://images.deliveryhero.io/image/fd-my/Products/1777055.jpg
5,Favourites Pizza,SMOKY BEEF & CHICK,"ONION SLICES, GREEN PEPPERS, GROUND BEEF AND CHICKEN POTPOURRI SAUSAGES ON OUR AWESOME SMOKY BLENDED BBQ SAUCE",MYR31.90,from MYR19.14,https://images.deliveryhero.io/image/fd-my/Products/1777061.jpg
6,Favourites Pizza,VEGIE FIESTA,"A VEGGIE LOVER'S DREAM. FRESH ONIONS, MUSHROOMS, GREEN PEPPER AND JUICY PINEAPPLES",MYR31.90,from MYR19.14,https://images.deliveryhero.io/image/fd-my/Products/1777058.jpg
7,Favourites Pizza,VEGIE GALORE,"A DELIGHTFUL MIX OF FRESH ONIONS, GREEN PEPPER, CHERRY TOMATOES, AND MUSHROOMS",MYR31.90,from MYR19.14,https://images.deliveryhero.io/image/fd-my/Products/1777059.jpg
8,Favourites Pizza,FLAMING TUNA,"DELICIOUS TUNA CHUNKS, FRESH ONIONS TOPPED WITH RED-HOT CHILIES! GET READY FOR A SPICY ENCOUNTER",MYR31.90,from MYR19.14,https://images.deliveryhero.io/image/fd-my/Products/1777054.jpg
9,Favourites Pizza,SEAFOOD DELIGHT,"OUR SEAFOOD SPECIALTY IS OVERFLOWING WITH SUCCULENT CRAB MEAT, DELICIOUS TUNA CHUNKS, FRESH ONIONS AND GREEN PEPPER",MYR31.90,from MYR19.14,https://images.deliveryhero.io/image/fd-my/Products/1777056.jpg
