,Name of Restaurant,Address,Opening Time,Delivery Hours,Rating,Rating Count,Image URL,Longitude,Latitude
0,Gfive Corner,"Jalan Titi Kerbau, Kampung Paya Nongmi, Changlun, Kedah",4:00 PM - 8:59 PM,"Mon-Sun4:00PM-8:59PM,4:00PM-8:59PM",4.4/5,42,https://images.deliveryhero.io/image/fd-my/LH/q9kd-hero.jpg,100.4187431,"6.4362746,"
1,Restoran Sri Impian Jitra (Famous Mee Rebus In Jitra),12 Taman Damai Jaya,9:00 AM - 7:45 PM,"Mon-Thu,Sat,Sun9:00AM-7:45PM,9:00AM-7:45PM",4.6/5,468,https://images.deliveryhero.io/image/fd-my/LH/r1tt-hero.jpg,100.419848,"6.280812,"
2,Abang Burn Corner,Hadapan Dominos Pizza Bandar Darulaman Jaya,6:00 PM - 11:59 PM,"Mon,Wed-Sun6:00PM-11:59PM,6:00PM-11:59PM",4.3/5,16,https://images.deliveryhero.io/image/fd-my/LH/q8qh-hero.jpg,100.419901,"6.244085,"
3,Man Mee Kari (Medan Penjaja Tanah Merah),"No.7, Medan Penjaja Tanah Merah, Kedah",11:00 AM - 7:00 PM,"Mon,Tue,Thu-Sun11:00AM-7:00PM,11:00AM-7:00PM",4.4/5,125,https://images.deliveryhero.io/image/fd-my/LH/q1sq-hero.jpg,100.4205224,"6.2410246,"
4,Mee Awang,"304 F, Jalan Sungai Korok",12:00 PM - 9:45 PM,"Mon,Tue,Thu,Sat,Sun12:00PM-9:45PM,12:00PM-9:45PM

Wed9:00AM-9:00PM,9:00AM-9:00PM",4.4/5,96,https://images.deliveryhero.io/image/fd-my/LH/r4vr-hero.jpg,100.41694,"6.264311,"
5,Eva Cafe,"147 A,Jalan PJ 6, Pekan Jitra 2, Jitra, Kedah",9:30 AM - 6:45 PM,"Mon-Thu,Sat,Sun9:30AM-6:45PM,9:30AM-6:45PM",4.1/5,125,https://images.deliveryhero.io/image/fd-my/LH/q3wt-hero.jpg,100.419169,"6.257959,"
6,Belanga Hangit (Food Garage),"Food Garage, Lot 7360, Jalan Taman Sri, Jitra, Kedah",2:00 PM - 11:30 PM,"Tue-Sun2:00PM-11:30PM,2:00PM-11:30PM",4.1/5,323,https://images.deliveryhero.io/image/fd-my/LH/q2id-hero.jpg,100.419407,"6.24318,"
7,Bueno,"No .1, Mix Legacy Cafe, Jalan Ilmu Hadapan Masjid Tjg. Pauh, Bandar Darulaman",3:30 PM - 11:15 PM,"Mon-Sun3:30PM-11:15PM,3:30PM-11:15PM",4.7/5,216,https://images.deliveryhero.io/image/fd-my/LH/q6yq-hero.jpg,100.42036,"6.250552,"
8,Coq Pisang Ganja,Kampung Seberang,10:00 AM - 7:00 PM,"Mon-Sun10:00AM-7:00PM,10:00AM-7:00PM",4.4/5,7,https://images.deliveryhero.io/image/fd-my/LH/r2rm-hero.jpg,100.414281,"6.266947,"
9,Mok Cunn Corner,"36a, Jalan Ilmu, Bandar Darulaman Jaya",11:00 AM - 4:00 PM,"Mon-Sun11:00AM-4:00PM,11:00AM-4:00PM",4.5/5,76,https://images.deliveryhero.io/image/fd-my/LH/r8rf-hero.jpg,100.423074,"6.251918,"
