,restaurant_name,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,restoran-rebung-chef-ismail,Mains,Daging Salai Masak Lemak Cili Padi,Smoked beef cooked with spicy coconut milk,MYR9.00,N/A,N/A
1,restoran-rebung-chef-ismail,Mains,Tempoyak Ikan Patin,Silver catfish cooked with fermented durian paste,MYR7.00,N/A,N/A
2,restoran-rebung-chef-ismail,Mains,Asam Pedas Ikan Pari,Stingray cooked with spicy & sour,MYR7.00,N/A,N/A
3,restoran-rebung-chef-ismail,Mains,Telur Itik Masak Lemak Cili Padi,Duck egg cooked with spicy coconut milk,MYR6.00,N/A,N/A
4,restoran-rebung-chef-ismail,Mains,Lempeng Kelapa with Sambal Ikan Bilis,Dish Description not available,MYR5.00,N/A,N/A
5,restoran-rebung-chef-ismail,Mains,Ubi Rebus With Sambal Ikan Bilis,Steamed tapioca,MYR5.00,N/A,N/A
6,restoran-rebung-chef-ismail,Mains,Roti Jala with Vegetables Curry,Dish Description not available,MYR5.00,N/A,N/A
7,restoran-rebung-chef-ismail,Mains,Oriental Popia Goreng,6 Pcs,MYR9.00,N/A,N/A
8,restoran-rebung-chef-ismail,Mains,Tempoyak Daun,Dish Description not available,MYR5.00,N/A,N/A
9,restoran-rebung-chef-ismail,Mains,Rendang Pucuk Ubi,Dish Description not available,MYR5.00,N/A,N/A
10,restoran-rebung-chef-ismail,Lunch Sets,Set A,Daging salai masak lemak cili padi,MYR15.00,N/A,N/A
11,restoran-rebung-chef-ismail,Lunch Sets,Set B,Tempoyak ikan patin,MYR15.00,N/A,N/A
12,restoran-rebung-chef-ismail,Lunch Sets,Set C,Asam pedas ikan pari,MYR15.00,N/A,N/A
13,restoran-rebung-chef-ismail,Lunch Sets,Set D,Telur itik masak lemak cili padi,MYR15.00,N/A,N/A
14,restoran-rebung-chef-ismail,A La Carte,Nasi Goreng Cendawan Bersos,Dish Description not available,MYR17.50,N/A,N/A
15,restoran-rebung-chef-ismail,A La Carte,Nasi Goreng Rebung Special,Dish Description not available,MYR17.50,N/A,N/A
16,restoran-rebung-chef-ismail,A La Carte,Nasi Goreng Seafood,Dish Description not available,MYR17.50,N/A,N/A
17,restoran-rebung-chef-ismail,A La Carte,Nasi Goreng Kampung,Dish Description not available,MYR17.50,N/A,N/A
18,restoran-rebung-chef-ismail,A La Carte,Hailam,Dish Description not available,MYR17.50,N/A,N/A
19,restoran-rebung-chef-ismail,A La Carte,Kantonis,Dish Description not available,MYR17.50,N/A,N/A
20,restoran-rebung-chef-ismail,A La Carte,Kungfu,Dish Description not available,MYR17.50,N/A,N/A
21,restoran-rebung-chef-ismail,Yong Taufu Fresh Made,Terung Yong Taufu,Dish Description not available,MYR3.00,N/A,N/A
