,restaurant_name,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,feng-jie-85du-c-at-xin-xin-dian-xin,MAIN DISHES 主菜,Dry Minced Meat Noodle 干捞肉碎面,Dish Description not available,MYR9.50,N/A,N/A
1,feng-jie-85du-c-at-xin-xin-dian-xin,MAIN DISHES 主菜,Saury Fish Ball Pork Noodle 西刀鱼丸猪肉粉汤,Dish Description not available,MYR9.50,N/A,N/A
2,feng-jie-85du-c-at-xin-xin-dian-xin,MAIN DISHES 主菜,Seafood Abalone Big Bowl Noodle 海鲜鲍鱼大碗面,Dish Description not available,MYR11.90,N/A,N/A
3,feng-jie-85du-c-at-xin-xin-dian-xin,MAIN DISHES 主菜,Saury Fish Ball 西刀魚丸,Dish Description not available,MYR1.50,N/A,N/A
4,the-east-court,A La Carte,Fish Braised + Steam + Curry Set,Dish Description not available,MYR83.00,N/A,N/A
5,the-east-court,A La Carte,Spicy Fried Prawn,Dish Description not available,MYR58.50,N/A,N/A
6,the-east-court,A La Carte,Original Teochew Fish Porridge,Dish Description not available,MYR13.50,N/A,N/A
7,the-east-court,A La Carte,Original Teochew Fish Bee Hoon,Dish Description not available,MYR13.50,N/A,N/A
8,the-east-court,A La Carte,Bitter Gourd,Small,MYR4.00,N/A,N/A
9,the-east-court,A La Carte,Braised Chicken with Chinese Dodder,Half,MYR21.90,N/A,N/A
10,the-east-court,A La Carte,Claypot Braised Pork Trotters with Sauce,Dish Description not available,MYR32.00,N/A,N/A
11,the-east-court,A La Carte,Wild Vegetable,Dish Description not available,MYR16.00,N/A,N/A
12,the-east-court,A La Carte,Sweet Leaf Vegetable with Egg,Dish Description not available,MYR16.00,N/A,N/A
13,the-east-court,A La Carte,Blue Dragon,Dish Description not available,MYR16.00,N/A,N/A
14,the-east-court,A La Carte,Cabbage with Pork,Dish Description not available,MYR18.00,N/A,N/A
15,the-east-court,A La Carte,Tao Fu,Dish Description not available,MYR10.00,N/A,N/A
16,the-east-court,A La Carte,Lettuce with Pork,Dish Description not available,MYR19.00,N/A,N/A
17,the-east-court,A La Carte,Egg Dishes,Dish Description not available,MYR13.50,N/A,N/A
18,the-east-court,A La Carte,Pork Very,Dish Description not available,MYR27.00,N/A,N/A
19,the-east-court,A La Carte,Grilled Squid,Dish Description not available,MYR2.90,N/A,N/A
20,the-east-court,A La Carte,Sambal Squid,Dish Description not available,MYR32.00,N/A,N/A
21,the-east-court,A La Carte,Clam Spicy,Half kg,MYR32.00,N/A,N/A
22,the-east-court,A La Carte,Rice,Dish Description not available,MYR2.00,N/A,N/A
23,828-restaurant-bandar-putra-828-shao-la-dian,Roast Meat 烧腊,Roasted Duck with Chinese Herb 当归药材鸭,Dish Description not available,MYR49.00,from MYR41.65,N/A
24,828-restaurant-bandar-putra-828-shao-la-dian,Roast Meat 烧腊,Spiced Roasted Chicken 椒盐烧鸡,Dish Description not available,MYR31.00,from MYR26.35,N/A
25,828-restaurant-bandar-putra-828-shao-la-dian,Roast Meat 烧腊,Kampong Boiled Chicken 甘榜白切鸡,Dish Description not available,MYR37.50,from MYR31.88,N/A
26,828-restaurant-bandar-putra-828-shao-la-dian,Roast Meat 烧腊,Crispy Roasted Pork 脆皮烧肉,Dish Description not available,MYR13.60,from MYR11.56,N/A
27,828-restaurant-bandar-putra-828-shao-la-dian,Roast Meat 烧腊,828. Meat Box 828 超级拼盘,Dish Description not available,MYR9.80,from MYR8.33,N/A
28,828-restaurant-bandar-putra-828-shao-la-dian,Rice 饭,Roasted Duck Rice 当归烧鸭饭,Dish Description not available,MYR10.80,from MYR9.18,N/A
29,828-restaurant-bandar-putra-828-shao-la-dian,Rice 饭,Roasted Chicke Rice 烧鸡饭,Dish Description not available,MYR8.80,from MYR7.48,N/A
30,828-restaurant-bandar-putra-828-shao-la-dian,Rice 饭,Kampong Boiled Chicken Rice 甘榜白鸡饭,Dish Description not available,MYR9.80,from MYR8.33,N/A
31,828-restaurant-bandar-putra-828-shao-la-dian,Rice 饭,Crispy Roasted Pork Rice 脆皮烧肉饭,Dish Description not available,MYR8.80,from MYR7.48,N/A
32,828-restaurant-bandar-putra-828-shao-la-dian,Rice 饭,Chicken Chop Rice 炸鸡排饭,Dish Description not available,MYR11.60,from MYR9.86,N/A
33,828-restaurant-bandar-putra-828-shao-la-dian,Rice 饭,Curry Chicken Rice 咖哩鸡饭,Dish Description not available,MYR12.80,from MYR10.88,N/A
