,restaurant_name,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,le-bee,Desserts,Golden Series Ice Cream,Dish Description not available,MYR17.00,N/A,N/A
1,le-bee,Desserts,Black Series Ice Cream,Dish Description not available,MYR12.10,N/A,N/A
2,le-bee,Desserts,Honey Ice Cream,Dish Description not available,MYR9.70,N/A,N/A
3,le-bee,Beverages,Diamond Pearl Honey Milk,Dish Description not available,MYR14.50,N/A,N/A
4,le-bee,Beverages,Refreshing Honey Cranberry Mint,Dish Description not available,MYR10.80,N/A,N/A
5,le-bee,Beverages,Premium Matcha Honey with Black Pearl,Dish Description not available,MYR14.50,N/A,N/A
6,le-bee,Beverages,Caramalized Honey Golden Pearl,Dish Description not available,MYR14.50,N/A,N/A
7,le-bee,Beverages,Honey Milk with Black Pearl,Dish Description not available,MYR10.80,N/A,N/A
8,le-bee,Beverages,Refreshing Honey Lemon,Dish Description not available,MYR9.65,N/A,N/A
9,le-bee,Beverages,Chocolate Brownies,Dish Description not available,MYR15.70,N/A,N/A
10,le-bee,Beverages,Cheese Jasmine Green Tea,Dish Description not available,MYR10.80,N/A,N/A
11,le-bee,Beverages,Honey Premium Roasted Oolong Milk Tea,Dish Description not available,MYR10.80,N/A,N/A
12,le-bee,Beverages,Mango Oolong Tea,Dish Description not available,MYR8.40,N/A,N/A
13,le-bee,Beverages,Diamond Mango Oolong Tea,Dish Description not available,MYR12.10,N/A,N/A
14,le-bee,Beverages,Strawberry Jasmine Tea,Dish Description not available,MYR8.40,N/A,N/A
15,le-bee,Beverages,Diamond Mango Strawberry Jasmine Tea,Dish Description not available,MYR12.10,N/A,N/A
16,le-bee,Beverages,Honey Jasmine Tea,Dish Description not available,MYR8.40,N/A,N/A
17,ie-anne-s,Blissful Together,So Blissful,1 Original stix & 1 any pretzel,MYR8.50,from N/A,N/A
18,ie-anne-s,Blissful Together,More Blissful,1 Cinnamon sugar stix & 1 any pretzel,MYR9.50,from N/A,N/A
19,ie-anne-s,Blissful Together,Very Blissful,1 Choco eclairs stix & 1 any pretzel,MYR10.50,from N/A,N/A
20,ie-anne-s,Combo,So Blissful,1 Original stix & 1 any pretzel,MYR8.50,from N/A,N/A
21,ie-anne-s,Combo,More Blissful,1 Cinnamon sugar stix & 1 any pretzel,MYR9.50,from N/A,N/A
22,ie-anne-s,Combo,Very Blissful,1 Choco eclairs stix & 1 any pretzel,MYR10.50,from N/A,N/A
23,ie-anne-s,Combo,Original Pretzel Combo,Dish Description not available,MYR7.30,from N/A,N/A
24,ie-anne-s,Combo,Cinnamon Sugar Pretzel Combo,Dish Description not available,MYR8.10,from N/A,N/A
25,ie-anne-s,Combo,Sour Cream & Onion Pretzel Combo,Dish Description not available,MYR8.10,from N/A,N/A
26,ie-anne-s,Combo,Parmesan Cheese Pretzel Combo,Dish Description not available,MYR8.10,from N/A,N/A
