,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,Combo Meals,Combo Meal 1,5 Roti kosong & 5 roti telur,MYR22.00,N/A,N/A
1,Combo Meals,Combo Meal 2,"2 Roti kosong, 2 roti telur, roti bom, roti cobra ayam, mee goreng ayam & 2 tea o ais",MYR30.00,N/A,N/A
2,Combo Meals,Combo Meal 3,"2 Mee goreng telur, 2 nasi goreng telur, 4 roti kosong & 2 roti telur",MYR33.00,N/A,N/A
3,Combo Meals,Combo Meal 4,"Nasi campur ayam, nasi briyani ayam, mee goreng ayam & nasi goreng ayam",MYR35.00,N/A,N/A
4,Combo Meals,Combo Meal 5,2 Nasi briyani ayam & 1 nasi briyani kambing,MYR35.00,N/A,N/A
5,Combo Meals,Combo Meal 6,"Nasi goreng ayam, mee goreng ayam, nasi goreng kampung, mee basah ayam & kuey teow basah ayam",MYR42.00,N/A,N/A
6,Combo Meals,Combo Meal 7,"Nasi putih ayam mayonnaise, nasi putih ayam paprik, nasi putih ayam black pepper, sup campur, teh tarik ais & teh o ais",MYR44.00,N/A,N/A
7,Combo Meals,Combo Meal 8,"Nasi goreng seafood, mee goreng seafood, kuey teow goreng seafood, nasi goreng kampung & mee basah ayam",MYR49.00,N/A,N/A
8,Combo Meals,Combo Meal 9,"Nasi briyani ayam, nasi briyani daging, nasi briyani kambing, 2 milo ais & 1 teh tarik ais",MYR49.00,N/A,N/A
9,Combo Meals,Combo Meal 10,"Nasi goreng kampung, nasi goreng paprik, mee goreng seafood, mee basah seafood & kuey teow goreng ayam",MYR49.00,N/A,N/A
10,Combo Meals,Combo Meal 11,"5 Roti kosong, 5 roti telur, nasi goreng ayam, mee goreng ayam, kuey teow goreng ayam, nasi briyani ayam, 2 milo ais, 1 bottled coke & bottled k2",MYR75.00,N/A,N/A
